"id","zipcode","name","settlement_type_code","settlement_type","city_code","city","state_code","state","office_code","zone"
"1","63000","Tepic Centro","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"2","63009","Centro SCT Nayarit","22","Gran usuario","17","Tepic","18","Nayarit","63001","Urbano"
"3","63010","Paseo de La Constitución","21","Fraccionamiento","17","Tepic","18","Nayarit","63001","Urbano"
"4","63010","Amado Nervo","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"5","63010","Amado Nervo","21","Fraccionamiento","17","Tepic","18","Nayarit","63001","Urbano"
"6","63010","Sacristán","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"7","63018","El Punto","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"8","63019","Loma Hermosa","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"9","63019","Francisco Villa","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"10","63020","Santa Teresita","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"11","63020","Unidad Deportiva Santa Teresita","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"12","63021","Adolfo López Mateos","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"13","63022","INDECO","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"14","63023","Senderos del Monte","21","Fraccionamiento","17","Tepic","18","Nayarit","63001","Urbano"
"15","63023","Buenos Aires","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"16","63023","Ojo de Agua","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"17","63030","Chapultepec","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"18","63030","San José","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"19","63030","Cuitlahuac","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"20","63030","Lomas de La Cruz Sutse","21","Fraccionamiento","17","Tepic","18","Nayarit","63001","Urbano"
"21","63035","Valle Verde","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"22","63035","Bugambilias","21","Fraccionamiento","17","Tepic","18","Nayarit","63001","Urbano"
"23","63035","Valle de Zaragoza","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"24","63035","Jardines del Valle","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"25","63035","Valle de La Cruz","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"26","63035","Ampliación El Paraíso","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"27","63035","Villas del Paraíso","21","Fraccionamiento","17","Tepic","18","Nayarit","63001","Urbano"
"28","63035","Islas del Paraíso","21","Fraccionamiento","17","Tepic","18","Nayarit","63001","Urbano"
"29","63035","Nueva Alemania","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"30","63035","Nuevo Progreso","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"31","63037","Lomas de La Cruz","21","Fraccionamiento","17","Tepic","18","Nayarit","63001","Urbano"
"32","63037","Villas de la Cruz","21","Fraccionamiento","17","Tepic","18","Nayarit","63001","Urbano"
"33","63037","Zapopan","21","Fraccionamiento","17","Tepic","18","Nayarit","63001","Urbano"
"34","63037","Los Viveros","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"35","63037","Los Arcos","21","Fraccionamiento","17","Tepic","18","Nayarit","63001","Urbano"
"36","63037","Sindicalistas","21","Fraccionamiento","17","Tepic","18","Nayarit","63001","Urbano"
"37","63037","La Loma","21","Fraccionamiento","17","Tepic","18","Nayarit","63001","Urbano"
"38","63037","La Lomita","21","Fraccionamiento","17","Tepic","18","Nayarit","63001","Urbano"
"39","63037","Tulipanes","21","Fraccionamiento","17","Tepic","18","Nayarit","63001","Urbano"
"40","63037","Villas Arana","21","Fraccionamiento","17","Tepic","18","Nayarit","63001","Urbano"
"41","63037","Residencial La Esmeralda","21","Fraccionamiento","17","Tepic","18","Nayarit","63001","Urbano"
"42","63037","Valle Verde Conalep","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"43","63037","Villas de la Laguna","21","Fraccionamiento","17","Tepic","18","Nayarit","63001","Urbano"
"44","63037","Ingeniero Agrónomo","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"45","63038","El Mirador INFONAVIT","31","Unidad habitacional","17","Tepic","18","Nayarit","63001","Urbano"
"46","63038","El Paraíso","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"47","63038","Rancho las Cruces","21","Fraccionamiento","17","Tepic","18","Nayarit","63001","Urbano"
"48","63038","Reforma","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"49","63038","Las Pares","21","Fraccionamiento","17","Tepic","18","Nayarit","63001","Urbano"
"50","63038","Emilio M. González","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"51","63038","Las Conchas","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"52","63039","Riveras de La Laguna","21","Fraccionamiento","17","Tepic","18","Nayarit","63001","Urbano"
"53","63039","Puerta de La Laguna","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"54","63039","Social Progresivo Cuba","21","Fraccionamiento","17","Tepic","18","Nayarit","63001","Urbano"
"55","63039","Real Montecarlo","21","Fraccionamiento","17","Tepic","18","Nayarit","63001","Urbano"
"56","63039","Camino Real","21","Fraccionamiento","17","Tepic","18","Nayarit","63001","Urbano"
"57","63039","Aztlán El Verde","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"58","63040","Magisterial","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"59","63050","Miguel íngel Paredes","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"60","63050","Mololoa","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"61","63050","El Parí­an","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"62","63058","Rivas Allende","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"63","63058","Sandino","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"64","63058","Sanchez Ibarra","21","Fraccionamiento","17","Tepic","18","Nayarit","63001","Urbano"
"65","63059","Villas de Matatipac","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"66","63059","San Juanito","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"67","63059","Lomas de La Laguna","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"68","63059","Lomas de Cortez","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"69","63060","El Rodeo","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"70","63061","Lomas Altas","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"71","63062","Lomas Bonitas","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"72","63062","Rinconada Residencial","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"73","63062","El Palomar","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"74","63062","Alaska","21","Fraccionamiento","17","Tepic","18","Nayarit","63001","Urbano"
"75","63066","Lomas del Valle","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"76","63066","Florencia","21","Fraccionamiento","17","Tepic","18","Nayarit","63001","Urbano"
"77","63066","Lomas del Valle Ampliación","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"78","63067","Las Flores","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"79","63068","Luis Echeverría A.","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"80","63068","América Manrí­quez","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"81","63069","Primero de Mayo","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"82","63069","Unidad Obrera","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"83","63069","Ampliación Unidad Obrera","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"84","63070","Emiliano Zapata","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"85","63070","La Huerta","21","Fraccionamiento","17","Tepic","18","Nayarit","63001","Urbano"
"86","63080","Heriberto Casas","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"87","63081","Acayapan","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"88","63082","El Naranjal","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"89","63082","El Faisán","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"90","63083","Ampliación Santa Teresita","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"91","63083","Ruinas de Jauja","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"92","63084","Los Pinos","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"93","63084","Ingeniero Aguayo","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"94","63088","Santa Fe","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"95","63089","Santa Cecilia","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"96","63100","20 de Noviembre","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"97","63109","Estadios","21","Fraccionamiento","17","Tepic","18","Nayarit","63001","Urbano"
"98","63110","Rodeo de La Punta","21","Fraccionamiento","17","Tepic","18","Nayarit","63001","Urbano"
"99","63110","Lindavista","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
"100","63114","Guadalupe","9","Colonia","17","Tepic","18","Nayarit","63001","Urbano"
